x,y
32,47
48,47
14,10
5,46
30,39
54,45
47,12
22,22
14,19
39,9
47,37
55,18
45,21
13,28
28,29
53,27
34,26
21,33
13,47
39,42
5,55
23,4
44,59
34,56
43,28
56,35
22,49
6,20
52,55
37,36
39,18
22,57
37,2
22,42
4,14
56,10
4,37
13,55
42,51
4,28
13,37
59,53
22,13
0,5
30,18
17,4
55,3
31,9
9,4
46,3
31,55
