x,y
23,38
44,27
55,3
35,31
53,11
11,35
32,4
42,3
12,18
37,22
28,27
20,32
55,34
44,46
28,56
37,13
18,55
40,37
48,4
44,12
10,11
4,36
11,49
56,55
23,3
46,19
4,44
12,27
48,34
27,48
21,23
4,21
27,37
14,4
47,54
4,3
32,42
55,46
4,27
19,47
54,26
3,12
10,58
1,54
30,9
20,13
39,56
35,50
51,41
13,40
55,17
29,18
