x,y
11,47
19,30
18,5
49,28
1,48
54,55
33,47
59,14
6,26
56,3
9,41
2,37
26,30
49,19
3,57
43,38
25,40
10,10
2,4
51,10
13,58
41,24
10,31
18,51
39,55
14,19
49,36
35,16
58,29
4,12
44,48
25,12
4,22
25,49
50,6
8,52
31,25
42,11
55,47
34,38
48,56
56,37
22,17
53,43
29,56
27,3
34,6
41,1
16,39
9,3
20,58
36,31
