x,y
21,4
43,25
21,56
55,39
30,4
45,33
4,20
4,3
15,13
40,3
39,18
23,39
4,42
4,47
36,43
13,20
51,44
5,12
12,3
31,20
54,52
59,22
4,55
45,5
34,9
13,48
34,35
6,35
53,13
12,27
43,40
25,55
36,27
2,29
29,48
51,23
41,56
44,49
55,31
14,57
55,3
21,22
20,32
15,38
33,55
26,13
30,31
45,14
22,46
