x,y
12,52
13,26
14,9
51,7
56,48
4,40
56,32
22,24
17,54
47,55
22,14
25,5
9,4
5,22
56,15
20,46
24,54
12,43
36,38
34,12
4,6
29,55
45,13
42,5
41,44
27,14
34,31
36,54
46,36
30,23
47,20
4,16
28,43
57,24
15,18
17,3
44,53
49,43
9,33
3,47
20,38
43,29
33,4
18,32
5,56
55,58
36,48
37,19
29,35
57,39
55,2
48,28
2,28
